datastructure,preload,size,insertratio,throughput
PLUSH,100000000,100000000,0.0,
DPTree,100000000,100000000,0.0,
utree,100000000,100000000,0.0,
Viper,100000000,100000000,0.0,
FASTFAIR,100000000,100000000,0.0,
DASH,100000000,100000000,0.0,
FPTree,100000000,100000000,0.0,
pmemkv,100000000,100000000,0.0,
PLUSH,100000000,100000000,0.1,
DPTree,100000000,100000000,0.1,
utree,100000000,100000000,0.1,
Viper,100000000,100000000,0.1,
FASTFAIR,100000000,100000000,0.1,
DASH,100000000,100000000,0.1,
FPTree,100000000,100000000,0.1,
pmemkv,100000000,100000000,0.1,
PLUSH,100000000,100000000,0.2,
DPTree,100000000,100000000,0.2,
utree,100000000,100000000,0.2,
Viper,100000000,100000000,0.2,
FASTFAIR,100000000,100000000,0.2,
DASH,100000000,100000000,0.2,
FPTree,100000000,100000000,0.2,
pmemkv,100000000,100000000,0.2,
PLUSH,100000000,100000000,0.3,
DPTree,100000000,100000000,0.3,
utree,100000000,100000000,0.3,
Viper,100000000,100000000,0.3,
FASTFAIR,100000000,100000000,0.3,
DASH,100000000,100000000,0.3,
FPTree,100000000,100000000,0.3,
pmemkv,100000000,100000000,0.3,
PLUSH,100000000,100000000,0.4,
DPTree,100000000,100000000,0.4,
utree,100000000,100000000,0.4,
Viper,100000000,100000000,0.4,
FASTFAIR,100000000,100000000,0.4,
DASH,100000000,100000000,0.4,
FPTree,100000000,100000000,0.4,
pmemkv,100000000,100000000,0.4,
PLUSH,100000000,100000000,0.5,
DPTree,100000000,100000000,0.5,
utree,100000000,100000000,0.5,
Viper,100000000,100000000,0.5,
FASTFAIR,100000000,100000000,0.5,
DASH,100000000,100000000,0.5,
FPTree,100000000,100000000,0.5,
pmemkv,100000000,100000000,0.5,
PLUSH,100000000,100000000,0.6,
DPTree,100000000,100000000,0.6,
utree,100000000,100000000,0.6,
Viper,100000000,100000000,0.6,
FASTFAIR,100000000,100000000,0.6,
DASH,100000000,100000000,0.6,
FPTree,100000000,100000000,0.6,
pmemkv,100000000,100000000,0.6,
PLUSH,100000000,100000000,0.7,
DPTree,100000000,100000000,0.7,
utree,100000000,100000000,0.7,
Viper,100000000,100000000,0.7,
FASTFAIR,100000000,100000000,0.7,
DASH,100000000,100000000,0.7,
FPTree,100000000,100000000,0.7,
pmemkv,100000000,100000000,0.7,
PLUSH,100000000,100000000,0.8,
DPTree,100000000,100000000,0.8,
utree,100000000,100000000,0.8,
Viper,100000000,100000000,0.8,
FASTFAIR,100000000,100000000,0.8,
DASH,100000000,100000000,0.8,
FPTree,100000000,100000000,0.8,
pmemkv,100000000,100000000,0.8,
PLUSH,100000000,100000000,0.9,
DPTree,100000000,100000000,0.9,
utree,100000000,100000000,0.9,
Viper,100000000,100000000,0.9,
FASTFAIR,100000000,100000000,0.9,
DASH,100000000,100000000,0.9,
FPTree,100000000,100000000,0.9,
pmemkv,100000000,100000000,0.9,
PLUSH,100000000,100000000,1.0,
DPTree,100000000,100000000,1.0,
utree,100000000,100000000,1.0,
Viper,100000000,100000000,1.0,
FASTFAIR,100000000,100000000,1.0,
DASH,100000000,100000000,1.0,
FPTree,100000000,100000000,1.0,
pmemkv,100000000,100000000,1.0,
